"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"ECO00010"	0.68754	0.18406	NA	-0.57859	NA	0.48252	0.60296	0.39961	NA
"ECO00020"	0.7095	0.29065	NA	0.37911	0.98934	NA	0.7432	0.14606	NA
"ECO00030"	0.74573	0.15892	NA	-0.43404	NA	0.81822	0.61804	0.42869	NA
"ECO00040"	-0.31367	NA	1	0.46732	0.98153	NA	0.34157	0.91268	NA
"ECO00051"	0.75455	0.056491	NA	0.47836	0.96122	NA	0.74348	0.088827	NA
"ECO00052"	0.46761	0.6795	NA	-0.45006	NA	0.76462	0.68161	0.21883	NA
"ECO00053"	0.64636	0.61055	NA	0.61343	0.83083	NA	0.6302	0.55685	NA
"ECO00061"	-0.83731	NA	0.12025	0.80716	0.38073	NA	-0.6969	NA	0.48
"ECO00071"	-0.52896	NA	0.84485	-0.86408	NA	0.071723	0.5529	0.65005	NA
"ECO00130"	-0.73962	NA	0.21667	0.46073	0.99087	NA	-0.58422	NA	0.59992
"ECO00190"	0.56832	0.56337	NA	-0.28093	NA	0.96241	0.74374	0.081143	NA
"ECO00220"	-0.44215	NA	0.96196	-0.53953	NA	0.70592	-0.71617	NA	0.32813
"ECO00230"	-0.39637	NA	0.85523	0.57509	0.54088	NA	0.33336	0.852	NA
"ECO00240"	-0.40143	NA	0.8914	0.60383	0.55084	NA	0.32139	0.87957	NA
"ECO00250"	0.47944	0.67996	NA	-0.81415	NA	0.044916	-0.60135	NA	0.46418
"ECO00260"	-0.35756	NA	0.97002	0.74107	0.26653	NA	-0.57577	NA	0.48534
"ECO00261"	-0.76134	NA	0.38981	0.86433	0.29177	NA	-0.8686	NA	0.15276
"ECO00270"	0.34246	0.8981	NA	0.60287	0.69744	NA	-0.47707	NA	0.7683
"ECO00280"	-0.35016	NA	1	-0.90065	NA	0.06989	0.73602	0.40135	NA
"ECO00281"	-0.34683	NA	0.99927	-0.94796	NA	0.11331	0.852	0.39298	NA
"ECO00290"	0.5356	0.68253	NA	0.81593	0.32645	NA	0.49195	0.77198	NA
"ECO00300"	-0.7453	NA	0.26246	0.85376	0.23099	NA	-0.84714	NA	0.12822
"ECO00310"	0.52794	0.73659	NA	-0.93981	NA	0.049535	0.71585	0.41531	NA
"ECO00330"	-0.36213	NA	0.97234	0.43501	0.97084	NA	0.41292	0.81926	NA
"ECO00332"	-0.48284	NA	1	0.95384	0.54257	NA	-0.86522	NA	0.55762
"ECO00340"	-0.94493	NA	0.15294	0.75865	0.67407	NA	-0.7835	NA	0.4053
"ECO00350"	0.42147	0.89564	NA	-0.94271	NA	0.071363	0.56887	0.69347	NA
"ECO00360"	0.65824	0.42038	NA	0.65434	0.60898	NA	0.76205	0.088514	NA
"ECO00362"	-0.45309	NA	0.95053	-0.906	NA	0.07651	0.72021	0.41525	NA
"ECO00380"	-0.51393	NA	0.95057	-0.91544	NA	0.080008	0.81539	0.29246	NA
"ECO00400"	-0.79469	NA	0.11362	0.78743	0.30727	NA	0.52658	0.65183	NA
"ECO00401"	-0.84494	NA	0.45284	0.4686	0.98952	NA	-0.37886	NA	0.99261
"ECO00410"	0.42992	0.84566	NA	-0.87152	NA	0.066331	-0.50721	NA	0.82484
"ECO00430"	0.85274	0.39536	NA	-0.4802	NA	0.87303	-0.79154	NA	0.47379
"ECO00440"	0.71602	0.5995	NA	-0.95415	NA	0.06958	-0.85274	NA	0.25809
"ECO00450"	0.49082	0.7518	NA	0.7392	0.53356	NA	-0.32183	NA	0.9966
"ECO00460"	-0.78872	NA	0.43551	-0.7317	NA	0.566	-0.57425	NA	0.82795
"ECO00471"	0.85449	0.46208	NA	-0.46514	NA	0.91352	-0.574	NA	0.81987
"ECO00473"	0.87733	0.45856	NA	0.87108	0.61506	NA	0.94126	0.26424	NA
"ECO00480"	0.55548	0.63715	NA	0.51152	0.97995	NA	0.47209	0.76837	NA
"ECO00500"	0.51471	0.62208	NA	-0.83708	NA	0.049764	0.56854	0.52555	NA
"ECO00511"	-0.38642	NA	1	0.59259	0.98503	NA	0.61786	0.79033	NA
"ECO00520"	0.4138	0.74718	NA	0.44235	0.97484	NA	0.64833	0.2676	NA
"ECO00521"	-0.70029	NA	0.48619	-0.41214	NA	0.92202	0.79097	0.36946	NA
"ECO00523"	-0.87468	NA	0.26619	-0.4869	NA	0.87155	0.62621	0.67672	NA
"ECO00525"	-0.91498	NA	0.27552	-0.41209	NA	0.95483	0.70726	0.63575	NA
"ECO00540"	-0.47871	NA	0.83943	0.65112	0.59993	NA	0.44223	0.76978	NA
"ECO00550"	-0.81739	NA	0.08396	0.68015	0.60663	NA	-0.61988	NA	0.47737
"ECO00561"	0.8518	0.14776	NA	0.49348	1	NA	0.5897	0.64187	NA
"ECO00562"	-0.47408	NA	1	-0.79045	NA	0.56946	-0.4105	NA	1
"ECO00564"	-0.34302	NA	0.98861	-0.88409	NA	0.029297	-0.44909	NA	0.82021
"ECO00590"	-0.93363	NA	0.46358	-0.95245	NA	0.31626	-0.9335	NA	0.4728
"ECO00592"	-0.88995	NA	0.44498	-0.90347	NA	0.33459	0.42984	0.9508	NA
"ECO00600"	0.96793	0.41676	NA	0.62352	0.98531	NA	0.76398	0.57618	NA
"ECO00620"	0.47549	0.63265	NA	-0.48764	NA	0.63996	0.57696	0.43418	NA
"ECO00621"	0.62199	0.74282	NA	-0.86671	NA	0.34303	0.69076	0.64331	NA
"ECO00622"	0.62199	0.74282	NA	-0.86671	NA	0.34303	0.69076	0.64331	NA
"ECO00625"	0.75691	0.61114	NA	-0.90991	NA	0.24093	0.81287	0.50436	NA
"ECO00626"	0.75691	0.61114	NA	-0.90991	NA	0.24093	0.81287	0.50436	NA
"ECO00627"	0.75707	0.50338	NA	0.7441	0.67686	NA	-0.20623	NA	0.99957
"ECO00630"	-0.35697	NA	0.96978	-0.71993	NA	0.086709	0.44094	0.71054	NA
"ECO00633"	0.70239	0.62124	NA	0.52592	0.97187	NA	0.47774	0.85515	NA
"ECO00640"	0.44091	0.74071	NA	-0.56363	NA	0.54844	0.62727	0.381	NA
"ECO00650"	0.61229	0.46838	NA	-0.8038	NA	0.053164	0.39125	0.81729	NA
"ECO00660"	0.64641	0.61947	NA	0.82908	0.39035	NA	0.77754	0.36887	NA
