"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"ECO00010"	0.51414	0.85438	NA	0.64044	0.70089	NA	0.39223	0.94818	NA
"ECO00020"	0.67881	0.69791	NA	-0.51081	NA	0.81996	0.34524	0.99835	NA
"ECO00030"	0.37174	0.95384	NA	0.69266	0.71289	NA	-0.52758	NA	0.8241
"ECO00040"	0.54954	0.83269	NA	0.73697	0.78385	NA	0.75757	0.55895	NA
"ECO00051"	-0.34301	NA	0.92134	0.69186	0.81874	NA	0.72949	0.51084	NA
"ECO00052"	0.86408	0.99215	NA	0.85491	0.44431	NA	0.91932	0.20869	NA
"ECO00053"	0.84667	0.43798	NA	0.9475	0.40801	NA	0.84895	0.44397	NA
"ECO00061"	-0.37429	NA	0.95013	-0.51792	NA	0.83667	0.31003	0.99042	NA
"ECO00071"	0.44311	0.93261	NA	0.38499	0.99736	NA	0.48494	0.90766	NA
"ECO00130"	0.34333	0.99554	NA	0.39536	0.97058	NA	-0.38543	NA	0.97279
"ECO00190"	0.48742	0.81962	NA	-0.54022	NA	0.80945	0.58866	0.80994	NA
"ECO00220"	-0.58601	NA	0.69982	-0.6354	NA	0.78107	-0.4747	NA	0.93344
"ECO00230"	-0.35455	NA	0.83555	-0.56728	NA	0.85241	0.33789	0.96178	NA
"ECO00240"	0.35018	0.94775	NA	-0.51779	NA	0.80566	-0.27819	NA	0.98825
"ECO00250"	0.35295	0.97448	NA	-0.77683	NA	0.52377	-0.70963	NA	0.5185
"ECO00260"	-0.4758	NA	0.74096	0.69358	0.72471	NA	-0.47078	NA	0.88266
"ECO00261"	-0.36226	NA	0.96158	0.78579	0.73464	NA	0.59621	0.85814	NA
"ECO00270"	0.33346	0.98786	NA	0.35886	0.99655	NA	-0.37797	NA	0.96308
"ECO00280"	-0.71508	NA	0.57769	-0.76934	NA	0.73869	-0.63654	NA	0.78869
"ECO00281"	-0.72938	NA	0.6908	-0.83419	NA	0.85443	-0.60791	NA	0.89265
"ECO00290"	-0.56625	NA	0.71414	0.45753	0.94524	NA	-0.95515	NA	0.49889
"ECO00300"	-0.49548	NA	0.80666	0.69683	0.69508	NA	0.53756	0.87545	NA
"ECO00310"	-0.45717	NA	0.87181	-0.59049	NA	0.82582	-0.47117	NA	0.95902
"ECO00330"	-0.62193	NA	0.55834	-0.77328	NA	0.39724	-0.83454	NA	0.41614
"ECO00332"	-0.94687	NA	0.54034	0.86583	0.66512	NA	-0.96763	NA	0.52854
"ECO00340"	0.46621	0.95014	NA	0.83276	0.77017	NA	0.91548	0.35787	NA
"ECO00350"	0.56632	0.83667	NA	0.81301	0.74732	NA	0.69471	0.79852	NA
"ECO00360"	-0.58885	NA	0.58628	-0.50948	NA	0.83168	-0.43383	NA	0.94267
"ECO00362"	-0.68949	NA	0.58633	-0.76265	NA	0.7421	-0.67632	NA	0.73027
"ECO00380"	-0.43929	NA	0.94462	-0.70846	NA	0.81616	-0.68729	NA	0.74218
"ECO00400"	-0.86497	NA	0.01684	-0.54454	NA	0.83422	0.40304	0.97524	NA
"ECO00401"	-0.79122	NA	0.65226	0.72905	0.80985	NA	0.93312	0.52453	NA
"ECO00410"	-0.38545	NA	0.92896	-0.77437	NA	0.59294	-0.76324	NA	0.59825
"ECO00430"	0.7428	0.82855	NA	0.59389	0.90804	NA	0.45168	0.96161	NA
"ECO00440"	-0.56606	NA	0.81414	0.64042	0.84684	NA	-0.47283	NA	0.95757
"ECO00450"	0.54765	0.81816	NA	0.41037	0.97236	NA	0.53941	0.86991	NA
"ECO00460"	-0.91205	NA	0.24806	-0.80451	NA	0.84935	-0.46881	NA	0.96742
"ECO00471"	0.73329	0.82969	NA	-0.65406	NA	0.82533	-0.4865	NA	0.96846
"ECO00473"	0.89242	0.71626	NA	-0.42938	NA	0.98358	-0.52751	NA	0.95841
"ECO00480"	-0.91159	NA	0.01046	-0.31907	NA	0.98276	-0.55943	NA	0.81957
"ECO00500"	0.85453	0.62932	NA	0.9556	0.35607	NA	0.92633	0.39336	NA
"ECO00511"	0.76486	0.84042	NA	-0.51038	NA	0.95049	0.57019	0.90917	NA
"ECO00520"	0.63145	0.71036	NA	0.82497	0.3157	NA	0.83716	0.39529	NA
"ECO00521"	-0.86971	NA	0.22729	-0.56479	NA	0.83073	-0.66836	NA	0.7946
"ECO00523"	-0.89829	NA	0.25804	-0.633	NA	0.82615	0.78774	0.77079	NA
"ECO00525"	-0.91301	NA	0.40263	-0.57007	NA	0.90821	0.78764	0.84671	NA
"ECO00540"	0.62421	0.74844	NA	0.30689	1	NA	0.82559	0.36482	NA
"ECO00550"	0.50717	0.82214	NA	0.56006	0.84131	NA	-0.5039	NA	0.87608
"ECO00561"	0.70786	0.78426	NA	0.42202	0.97342	NA	0.4234	0.96427	NA
"ECO00562"	-0.41007	NA	0.97396	-0.86303	NA	0.82396	-0.95224	NA	0.60471
"ECO00564"	0.72825	0.44251	NA	0.6491	0.70405	NA	0.53933	0.86572	NA
"ECO00590"	-0.41211	NA	0.97511	-0.71421	NA	0.8261	-0.68347	NA	0.89216
"ECO00592"	-0.75005	NA	0.72278	-0.74197	NA	0.8276	-0.6782	NA	0.85858
"ECO00600"	0.85615	0.74696	NA	0.74622	0.79308	NA	-0.93364	NA	0.54205
"ECO00620"	0.51728	0.87172	NA	-0.3494	NA	0.94718	-0.65828	NA	0.57799
"ECO00621"	-0.74749	NA	0.69918	0.28495	0.99337	NA	-0.69408	NA	0.82615
"ECO00622"	-0.74749	NA	0.69918	0.28495	0.99337	NA	-0.69408	NA	0.82615
"ECO00625"	0.72612	0.87291	NA	0.85043	0.7227	NA	0.65522	0.86596	NA
"ECO00626"	0.72612	0.87291	NA	0.85043	0.7227	NA	0.65522	0.86596	NA
"ECO00627"	0.48847	0.92989	NA	-0.75233	NA	0.81257	-0.86946	NA	0.46651
"ECO00630"	0.39441	0.92694	NA	-0.73703	NA	0.4391	-0.5063	NA	0.81675
"ECO00633"	0.42095	0.98299	NA	0.57272	0.90742	NA	0.40398	0.99215	NA
"ECO00640"	-0.52983	NA	0.6578	-0.41119	NA	0.89837	-0.30706	NA	0.99853
"ECO00650"	0.53384	0.87746	NA	-0.68574	NA	0.57479	-0.66965	NA	0.57199
"ECO00660"	-0.56103	NA	0.8144	0.55381	0.9123	NA	-0.91435	NA	0.3526
"ECO00670"	-0.62578	NA	0.68629	-0.66026	NA	0.77213	0.66215	0.81906	NA
"ECO00680"	0.39656	0.94883	NA	-0.35361	NA	0.95632	-0.3296	NA	0.99029
"ECO00730"	0.84238	0.43999	NA	-0.5801	NA	0.83873	-0.33942	NA	0.99171
"ECO00740"	0.63452	0.81161	NA	0.73651	0.70691	NA	0.45077	0.96993	NA
"ECO00750"	-0.72605	NA	0.61254	-0.71066	NA	0.84831	-0.44819	NA	0.95984
"ECO00760"	0.402	0.95388	NA	-0.82199	NA	0.49885	-0.74744	NA	0.51658
"ECO00770"	-0.55569	NA	0.7098	-0.32389	NA	0.98053	-0.38668	NA	0.9659
"ECO00780"	-0.40229	NA	0.93752	0.28094	1	NA	0.50994	0.89746	NA
"ECO00785"	0.71269	0.81316	NA	-0.48433	NA	0.96031	0.58421	0.91972	NA
"ECO00790"	-0.65634	NA	0.54018	-0.58963	NA	0.81654	-0.67294	NA	0.63974
"ECO00860"	0.5157	0.81383	NA	0.4226	0.96573	NA	0.62863	0.85263	NA
"ECO00900"	0.72359	0.746	NA	-0.67312	NA	0.82708	0.561	0.85843	NA
"ECO00903"	-0.80139	NA	0.70742	-0.85608	NA	0.80107	-0.56431	NA	0.95612
"ECO00910"	-0.52276	NA	0.69493	0.52576	0.87037	NA	-0.46115	NA	0.91219
"ECO00920"	0.8109	0.45088	NA	0.87328	0.50677	NA	0.79325	0.30373	NA
"ECO00930"	-0.80139	NA	0.70742	-0.85608	NA	0.80107	-0.56431	NA	0.95612
"ECO00970"	0.32735	0.99394	NA	-0.46239	NA	0.85533	0.76109	0.56847	NA
"ECO01040"	-0.6133	NA	0.81298	-0.7165	NA	0.80937	-0.57458	NA	0.90738
"ECO01053"	0.59628	0.82205	NA	0.39817	1	NA	0.86059	0.51421	NA
"ECO01100"	0.42006	0.83768	NA	0.55917	0.69916	NA	0.492	0.76549	NA
"ECO01110"	0.3241	0.93129	NA	0.37069	0.94968	NA	-0.35061	NA	0.95987
"ECO01120"	-0.29397	NA	0.8639	-0.3614	NA	0.886	-0.48321	NA	0.794
