"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"ECO00010"	0.67166	0.56099	NA	-0.6919	NA	0.38842	0.3465	0.93466	NA
"ECO00020"	0.84447	0.18808	NA	-0.6313	NA	0.61279	0.76815	0.27684	NA
"ECO00030"	0.77274	0.35615	NA	-0.81744	NA	0.075419	-0.53766	NA	0.76896
"ECO00040"	0.41504	0.91595	NA	0.34921	0.9321	NA	0.31205	0.9824	NA
"ECO00051"	-0.34741	NA	0.92237	-0.4967	NA	0.80841	-0.49908	NA	0.80223
"ECO00052"	-0.70128	NA	0.23768	-0.44781	NA	0.87189	0.37565	0.91331	NA
"ECO00053"	-0.61976	NA	0.71926	0.55877	0.7953	NA	-0.39301	NA	0.92493
"ECO00061"	-0.78569	NA	0.3041	0.82947	0.30217	NA	0.30829	0.97138	NA
"ECO00071"	-0.4809	NA	0.82364	-0.6369	NA	0.71183	0.52711	0.77032	NA
"ECO00130"	0.52248	0.89594	NA	-0.5984	NA	0.7636	0.60549	0.5302	NA
"ECO00190"	0.77899	0.3191	NA	-0.39901	NA	0.92382	0.81505	0.093549	NA
"ECO00220"	0.46553	0.87352	NA	-0.63844	NA	0.67284	-0.76734	NA	0.41248
"ECO00230"	-0.49976	NA	0.62941	0.42262	0.80984	NA	-0.42252	NA	0.82618
"ECO00240"	-0.43586	NA	0.79509	0.53822	0.62062	NA	-0.35563	NA	0.91555
"ECO00250"	0.78611	0.34243	NA	-0.88949	NA	0.016535	-0.84922	NA	0.13433
"ECO00260"	-0.3958	NA	0.84616	0.64339	0.40471	NA	-0.38861	NA	0.9229
"ECO00261"	-0.62134	NA	0.74974	0.85616	0.27718	NA	-0.71771	NA	0.64321
"ECO00270"	-0.43703	NA	0.83225	0.63335	0.45365	NA	-0.72336	NA	0.38045
"ECO00280"	0.82447	0.43996	NA	-0.94723	NA	0.053289	-0.79686	NA	0.41969
"ECO00281"	-0.67336	NA	0.78052	-0.91722	NA	0.28757	0.81811	0.44452	NA
"ECO00290"	-0.84356	NA	0.21806	0.8623	0.22546	NA	-0.85325	NA	0.2308
"ECO00300"	-0.67268	NA	0.60887	0.81353	0.32592	NA	-0.5401	NA	0.81015
"ECO00310"	0.63388	0.8087	NA	-0.94069	NA	0.038679	-0.66253	NA	0.68441
"ECO00330"	-0.45033	NA	0.82221	-0.57487	NA	0.76412	0.57152	0.55729	NA
"ECO00332"	0.63337	0.88962	NA	0.94017	0.48347	NA	0.46297	0.98241	NA
"ECO00340"	-0.81926	NA	0.36831	0.69844	0.67205	NA	0.73915	0.48039	NA
"ECO00350"	0.64932	0.79531	NA	-0.96303	NA	0.05964	-0.91331	NA	0.23673
"ECO00360"	-0.34162	NA	0.93951	-0.24147	NA	1	0.57855	0.51237	NA
"ECO00362"	-0.57443	NA	0.79188	-0.88733	NA	0.111	0.7545	0.38853	NA
"ECO00380"	0.39943	0.96987	NA	-0.92146	NA	0.12839	-0.43687	NA	0.91245
"ECO00400"	-0.79019	NA	0.22225	0.70713	0.33391	NA	0.44708	0.86198	NA
"ECO00401"	-0.89835	NA	0.38424	0.82536	0.60527	NA	0.8325	0.4768	NA
"ECO00410"	0.8439	0.35316	NA	-0.92438	NA	0.035135	-0.9073	NA	0.18565
"ECO00430"	0.93714	0.34572	NA	-0.7673	NA	0.60783	-0.95972	NA	0.23951
"ECO00440"	0.54509	0.87492	NA	-0.85017	NA	0.39106	-0.33111	NA	0.96962
"ECO00450"	0.49078	0.88085	NA	0.63705	0.61336	NA	-0.75394	NA	0.41977
"ECO00460"	-0.56456	NA	0.82497	-0.85971	NA	0.42437	-0.56239	NA	0.83411
"ECO00471"	0.94786	0.34177	NA	-0.85162	NA	0.46372	-0.71064	NA	0.68548
"ECO00473"	0.9052	0.48426	NA	0.71047	0.78938	NA	-0.56327	NA	0.86265
"ECO00480"	-0.35878	NA	0.95018	-0.66281	NA	0.6156	0.39554	0.93254	NA
"ECO00500"	0.64957	0.68297	NA	-0.79825	NA	0.084275	-0.61829	NA	0.6601
"ECO00511"	0.64688	0.90058	NA	0.61336	0.84497	NA	0.75297	0.64499	NA
"ECO00520"	-0.54439	NA	0.64521	-0.50122	NA	0.81821	-0.34594	NA	0.92929
"ECO00521"	-0.89074	NA	0.26148	-0.52524	NA	0.87627	0.80694	0.34561	NA
"ECO00523"	-0.9074	NA	0.25076	-0.56507	NA	0.86116	0.80276	0.42902	NA
"ECO00525"	-0.96722	NA	0.23265	-0.48631	NA	0.94451	0.80317	0.51007	NA
"ECO00540"	-0.45765	NA	0.83317	0.81039	0.21723	NA	0.59193	0.49477	NA
"ECO00550"	-0.4638	NA	0.82428	-0.36948	NA	0.9659	-0.48749	NA	0.82515
"ECO00561"	0.60844	0.82075	NA	0.57907	0.7823	NA	0.4672	0.87684	NA
"ECO00562"	0.6967	0.83977	NA	-0.87521	NA	0.4923	-0.79236	NA	0.69
"ECO00564"	0.39082	0.92553	NA	-0.64946	NA	0.57736	-0.37847	NA	0.91269
"ECO00590"	0.57458	0.87906	NA	-0.87867	NA	0.54688	-0.8187	NA	0.67837
"ECO00592"	-0.76657	NA	0.71666	-0.82558	NA	0.603	0.89689	0.41474	NA
"ECO00600"	0.78885	0.7623	NA	-0.34471	NA	1	0.44668	0.9851	NA
"ECO00620"	0.39967	0.88751	NA	0.46289	0.796	NA	-0.60642	NA	0.61123
"ECO00621"	0.83867	0.63773	NA	-0.65476	NA	0.8127	0.81306	0.49568	NA
"ECO00622"	0.83867	0.63773	NA	-0.65476	NA	0.8127	0.81306	0.49568	NA
"ECO00625"	0.78643	0.73968	NA	-0.93537	NA	0.28833	-0.55663	NA	0.86061
"ECO00626"	0.78643	0.73968	NA	-0.93537	NA	0.28833	-0.55663	NA	0.86061
"ECO00627"	0.73029	0.75791	NA	-0.5856	NA	0.83992	-0.9017	NA	0.25429
"ECO00630"	-0.40495	NA	0.82722	-0.72818	NA	0.23473	-0.37218	NA	0.92338
"ECO00633"	0.88946	0.36065	NA	-0.63114	NA	0.80152	-0.573	NA	0.81302
"ECO00640"	0.60746	0.75291	NA	-0.65389	NA	0.49118	-0.58951	NA	0.67324
"ECO00650"	0.75603	0.33985	NA	-0.78052	NA	0.12335	-0.77136	NA	0.22141
"ECO00660"	-0.87262	NA	0.26061	0.82401	0.38515	NA	-0.56531	NA	0.81136
"ECO00670"	-0.81011	NA	0.25052	0.77689	0.32672	NA	-0.46734	NA	0.8598
"ECO00680"	-0.56353	NA	0.69465	0.39558	0.89457	NA	-0.32917	NA	0.95115
"ECO00730"	-0.4901	NA	0.82678	0.30261	0.98812	NA	0.78132	0.309	NA
"ECO00740"	-0.71858	NA	0.65135	0.77493	0.47433	NA	0.37989	0.98172	NA
"ECO00750"	-0.66671	NA	0.6996	0.67217	0.70555	NA	0.42653	0.93733	NA
"ECO00760"	0.51931	0.88852	NA	-0.8071	NA	0.23368	-0.70043	NA	0.54089
"ECO00770"	-0.64288	NA	0.58844	0.72591	0.35817	NA	-0.36365	NA	0.92513
"ECO00780"	0.65263	0.79818	NA	0.62052	0.7196	NA	0.56896	0.68347	NA
"ECO00785"	0.92686	0.48475	NA	0.72492	0.77103	NA	0.90744	0.43433	NA
"ECO00790"	-0.47078	NA	0.82389	0.78156	0.335	NA	0.31873	0.97669	NA
"ECO00860"	0.61041	0.79186	NA	-0.40799	NA	0.94446	0.51131	0.72715	NA
"ECO00900"	-0.41861	NA	0.91611	0.51661	0.82029	NA	0.82644	0.22871	NA
"ECO00903"	-0.63535	NA	0.83075	-0.89094	NA	0.45004	0.8097	0.53909	NA
"ECO00910"	0.39723	0.92956	NA	-0.82204	NA	0.082571	0.59626	0.50974	NA
"ECO00920"	-0.45089	NA	0.8351	-0.21819	NA	1	-0.72355	NA	0.3818
"ECO00930"	-0.63535	NA	0.83075	-0.89094	NA	0.45004	0.8097	0.53909	NA
"ECO00970"	-0.78503	NA	0.20133	0.85997	0.31153	NA	0.32107	0.98848	NA
"ECO01040"	0.36633	0.99592	NA	-0.86749	NA	0.40115	0.67266	0.65296	NA
"ECO01053"	-0.91399	NA	0.2274	0.58801	0.83074	NA	-0.79973	NA	0.50701
"ECO01100"	0.3815	0.89214	NA	-0.4329	NA	0.78063	-0.35767	NA	0.82173
"ECO01110"	0.37869	0.86085	NA	-0.4649	NA	0.75592	-0.46021	NA	0.68699
"ECO01120"	0.61195	0.44531	NA	-0.68425	NA	0.057632	-0.51798	NA	0.63605
"ECO01130"	-0.3517	NA	0.82739	-0.5221	NA	0.61955	0.36296	0.79089	NA
"ECO01200"	0.54928	0.73909	NA	-0.58977	NA	0.49759	0.38945	0.79176	NA
"ECO01210"	-0.59925	NA	0.64864	0.70027	0.35358	NA	-0.80317	NA	0.22071
"ECO01212"	-0.67302	NA	0.48021	0.48257	0.82553	NA	0.53341	0.70172	NA
"ECO01220"	0.69854	0.68305	NA	-0.91165	NA	0.034213	0.61482	0.55523	NA
"ECO01230"	-0.49234	NA	0.60895	0.51888	0.61189	NA	-0.66994	NA	0.25785
"ECO01501"	0.62291	0.79744	NA	0.5787	0.77202	NA	0.90784	0.093849	NA
"ECO01502"	0.69227	0.79271	NA	0.51456	0.85358	NA	-0.41342	NA	0.9287
"ECO01503"	0.75238	0.33879	NA	0.46539	0.79846	NA	0.62921	0.42763	NA
"ECO02010"	0.52474	0.75157	NA	0.31065	0.90335	NA	0.61052	0.25884	NA
"ECO02020"	0.57686	0.62968	NA	-0.54245	NA	0.6083	0.37187	0.78786	NA
"ECO02024"	0.59782	0.7381	NA	-0.38017	NA	0.92578	-0.55193	NA	0.66755
"ECO02030"	0.4659	0.87215	NA	-0.50924	NA	0.85109	0.39273	0.92801	NA
"ECO02040"	0.28024	0.98609	NA	-0.84204	NA	0.04729	0.60484	0.43443	NA
"ECO02060"	-0.69663	NA	0.24508	0.46693	0.79693	NA	0.45409	0.77937	NA
"ECO03010"	-0.82898	NA	0.00041621	0.71842	0.26634	NA	-0.47888	NA	0.81239
"ECO03018"	-0.77966	NA	0.22786	0.72518	0.40243	NA	0.66262	0.47102	NA
"ECO03020"	-0.88205	NA	0.45752	0.96044	0.39108	NA	0.53307	0.91907	NA
"ECO03030"	-0.72697	NA	0.36392	0.88294	0.25916	NA	-0.664	NA	0.65371
"ECO03060"	-0.72511	NA	0.34617	0.74655	0.36906	NA	0.73952	0.30874	NA
"ECO03070"	-0.55678	NA	0.69544	0.72161	0.31066	NA	0.65362	0.39962	NA
"ECO03410"	0.66794	0.76826	NA	0.71348	0.4747	NA	-0.58969	NA	0.76831
