"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"ECO00010"	0.36942	0.9801	NA	0.60356	0.59559	NA	-0.54328	NA	0.69278
"ECO00020"	0.34248	1	NA	0.40022	0.98638	NA	-0.46532	NA	0.82033
"ECO00030"	0.34015	1	NA	-0.32229	NA	0.99144	-0.71933	NA	0.31183
"ECO00040"	0.53758	0.84492	NA	0.75599	1	NA	-0.30011	NA	0.96952
"ECO00051"	-0.47795	NA	0.7082	0.39576	1	NA	-0.39237	NA	0.88284
"ECO00052"	0.5066	0.83541	NA	0.58381	0.73506	NA	-0.47636	NA	0.75344
"ECO00053"	-0.26152	NA	0.99449	0.6387	0.85689	NA	-0.31481	NA	0.97917
"ECO00061"	0.67998	0.76817	NA	0.41662	1	NA	-0.41875	NA	0.93594
"ECO00071"	0.48876	0.92332	NA	0.70125	0.58269	NA	0.55483	0.57568	NA
"ECO00130"	0.60381	0.79137	NA	-0.23937	NA	0.98924	0.57387	0.51084	NA
"ECO00190"	0.57168	0.79531	NA	-0.45998	NA	0.80788	-0.37588	NA	0.90602
"ECO00220"	-0.6665	NA	0.47084	-0.68555	NA	0.51918	-0.37877	NA	0.93656
"ECO00230"	0.61598	0.57196	NA	0.31479	1	NA	0.42882	0.59811	NA
"ECO00240"	0.49644	0.82846	NA	0.56654	0.60565	NA	-0.30082	NA	0.94949
"ECO00250"	-0.69309	NA	0.18479	-0.69264	NA	0.43002	-0.54207	NA	0.66901
"ECO00260"	-0.44188	NA	0.77878	0.40384	1	NA	-0.71865	NA	0.29108
"ECO00261"	0.32996	1	NA	0.48324	0.99875	NA	-0.51322	NA	0.8422
"ECO00270"	0.37666	0.97167	NA	-0.50094	NA	0.81835	-0.67574	NA	0.38001
"ECO00280"	-0.89659	NA	0.17723	0.84032	0.80236	NA	-0.6504	NA	0.65847
"ECO00281"	0.59644	0.90778	NA	0.61315	0.9743	NA	0.86587	0.23642	NA
"ECO00290"	-0.42238	NA	0.88069	0.74989	0.43523	NA	-0.91526	NA	0.16381
"ECO00300"	-0.67351	NA	0.46815	0.46521	1	NA	-0.65308	NA	0.65354
"ECO00310"	-0.57447	NA	0.73491	-0.31059	NA	1	0.76903	0.24398	NA
"ECO00330"	-0.61186	NA	0.46923	-0.59876	NA	0.63402	0.32709	0.91929	NA
"ECO00332"	-0.87355	NA	0.63106	0.89602	0.64306	NA	-0.90599	NA	0.64181
"ECO00340"	-0.84332	NA	0.27988	-0.6965	NA	0.66173	0.6457	0.55847	NA
"ECO00350"	-0.67518	NA	0.60416	0.69488	0.8093	NA	-0.52807	NA	0.83393
"ECO00360"	-0.59102	NA	0.46872	0.6766	0.45246	NA	-0.60462	NA	0.60601
"ECO00362"	-0.67993	NA	0.55692	0.62452	0.89291	NA	-0.36869	NA	0.95366
"ECO00380"	0.96831	0.23899	NA	-0.9343	NA	0.25058	-0.91827	NA	0.20992
"ECO00400"	-0.77171	NA	0.18117	-0.55818	NA	0.79301	-0.47008	NA	0.80966
"ECO00401"	-0.86443	NA	0.48915	0.66258	0.99616	NA	0.45268	0.93139	NA
"ECO00410"	-0.41847	NA	0.88495	-0.36842	NA	0.97167	0.37646	0.89674	NA
"ECO00430"	0.54192	0.92601	NA	-0.59222	NA	0.80081	-0.4877	NA	0.93412
"ECO00440"	-0.55607	NA	0.78325	-0.38016	NA	0.99167	-0.81769	NA	0.42274
"ECO00450"	0.70046	0.68239	NA	0.31032	1	NA	-0.62144	NA	0.70049
"ECO00460"	-0.68898	NA	0.67336	-0.52236	NA	0.86572	-0.67057	NA	0.68173
"ECO00471"	0.73473	0.77181	NA	-0.77621	NA	0.61228	-0.4825	NA	0.93719
"ECO00473"	0.93963	0.50702	NA	0.94802	0.58002	NA	-0.81164	NA	0.65895
"ECO00480"	-0.66463	NA	0.44423	-0.32192	NA	0.99916	-0.65115	NA	0.60507
"ECO00500"	0.31539	1	NA	-0.47331	NA	0.81959	-0.47961	NA	0.75497
"ECO00511"	0.89818	0.59207	NA	0.78931	0.84961	NA	-0.48715	NA	0.94838
"ECO00520"	-0.60961	NA	0.34626	-0.46303	NA	0.81555	-0.3749	NA	0.89657
"ECO00521"	-0.64319	NA	0.66451	-0.73509	NA	0.54709	-0.6857	NA	0.68506
"ECO00523"	-0.69778	NA	0.66723	-0.89179	NA	0.36856	0.4576	0.89573	NA
"ECO00525"	-0.76474	NA	0.64816	-0.87915	NA	0.46646	0.45738	0.95036	NA
"ECO00540"	0.6625	0.64777	NA	0.68923	0.47234	NA	0.66066	0.23501	NA
"ECO00550"	0.71774	0.57076	NA	0.69627	0.43537	NA	0.26637	0.96332	NA
"ECO00561"	0.51835	0.90084	NA	-0.42426	NA	0.91675	-0.4744	NA	0.87743
"ECO00562"	-0.46183	NA	0.95525	-0.63802	NA	0.81788	-0.53171	NA	0.94527
"ECO00564"	0.72373	0.48499	NA	0.44905	0.96207	NA	0.51551	0.54457	NA
"ECO00590"	-0.5999	NA	0.88409	0.39665	1	NA	0.70042	0.72085	NA
"ECO00592"	0.37376	1	NA	0.67136	0.98871	NA	0.91443	0.33265	NA
"ECO00600"	0.87673	0.64241	NA	0.67634	1	NA	-0.78243	NA	0.6711
"ECO00620"	0.39708	0.94095	NA	0.52465	0.8498	NA	-0.60089	NA	0.49393
"ECO00621"	-0.78849	NA	0.63458	0.58942	0.97389	NA	-0.73068	NA	0.67103
"ECO00622"	-0.78849	NA	0.63458	0.58942	0.97389	NA	-0.73068	NA	0.67103
"ECO00625"	0.88353	0.60722	NA	0.89169	0.46587	NA	-0.49172	NA	0.9393
"ECO00626"	0.88353	0.60722	NA	0.89169	0.46587	NA	-0.49172	NA	0.9393
"ECO00627"	-0.69031	NA	0.61211	0.87505	0.64713	NA	-0.87493	NA	0.2906
"ECO00630"	-0.35316	NA	0.89118	-0.36688	NA	0.91125	-0.3271	NA	0.94667
"ECO00633"	-0.48936	NA	0.89625	-0.37136	NA	1	-0.68329	NA	0.66719
"ECO00640"	-0.83424	NA	0.012816	0.78593	0.098843	NA	-0.60691	NA	0.56232
"ECO00650"	-0.49529	NA	0.69516	0.68164	0.43619	NA	-0.65729	NA	0.39271
"ECO00660"	0.58832	0.85721	NA	-0.82541	NA	0.43172	-0.92598	NA	0.2197
