name	slope	intercept	baseline	phase1_start	phase1_end	phase1_slope	phase1_intercept	phase1_baseline	phase1_exclude	phase1_SNR	phase2_start	phase2_end	phase2_slope	phase2_intercept	phase2_baseline	phase2_exclude	phase2_SNR	phase3_start	phase3_end	phase3_slope	phase3_intercept	phase3_baseline	phase3_exclude	phase3_SNR	phase4_start	phase4_end	phase4_slope	phase4_intercept	phase4_baseline	phase4_exclude	phase4_SNR
A1			
A2			
A3			
A4			
A5			
A6			
A7			
A8			
A9			
A10			
A11			
A12			
B1			
B2			
B3			
B4			
B5			
B6			
B7			
B8			
B9			
B10			
B11	0.221306527895	41.8808354536	-0.0249443598742	21.25	37.0	0.221306527895	41.8808354536	-0.0249443598742	False	36.9835403282
B12			
C1			
C2			
C3			
C4			
C5			
C6			
C7			
C8			
C9			
C10			
C11	0.23754928712	39.8337137265	0.00240981170499	20.5	35.25	0.23754928712	39.8337137265	0.00240981170499	False	54.9755510641
C12			
D1			
D2			
D3			
D4			
D5			
D6			
D7			
D8			
D9			
D10			
D11	0.259852599213	35.1725730985	0.0256942333821	17.5	34.0	0.259852599213	35.1725730985	0.0256942333821	False	150.441741526
D12			
E1			
E2			
E3			
E4			
E5			
E6			
E7			
E8			
E9			
E10			
E11	0.287779541541	43.8062460612	0.0210280071395	23.75	37.25	0.287779541541	43.8062460612	0.0210280071395	False	14.1421298472	38.25	42.25	0.0356607886077	33.2005564795	-0.985396014649	False	10.8433881426
E12			
F1			
F2			
F3			
F4			
F5			
F6			
F7			
F8			
F9			
F10			
F11	0.283837020679	31.7215726643	0.0683072771279	15.5	31.25	0.283837020679	31.7215726643	0.0683072771279	False	173.916135611
F12			
G1			
G2			
G3			
G4			
G5			
G6			
G7			
G8			
G9			
G10			
G11			
G12			
H1			
H2			
H3			
H4			
H5			
H6			
H7			
H8			
H9			
H10	0.24188484689	34.2428585496	0.0702322658522	0.25	7.0	0.0456683722576	41.9754864655	-0.135427249951	True	1.33858274927	18.25	33.5	0.24188484689	34.2428585496	0.0702322658522	False	78.9275746838
H11			
H12			
