	compound	clean_strain	pretty_name	slope	std	stderr
0	1,2-propanediol	12PD3-8	12PD3-8	0.5740869208187139	0.050324805160267584	0.016774935053422528
121	1,2-propanediol	metJ_relA	ΔmetJ relA::kan	0.16023046858031353	0.10015092916335061	0.05782216591205162
119	1,2-propanediol	metJ_purT	ΔmetJ purT::kan	0.2517328420497664	0.1353433180970114	0.07814050113632667
117	1,2-propanediol	metJ_acrB	ΔmetJ acrB::kan	0.24667101018788382	0.1189002438042429	0.04854082126881869
266	1,2-propanediol	yfgF	yfgF::kan	0.16582472497480266	0.09484538540239582	0.038720466448914324
115	1,2-propanediol	metJ-sm		0.11033228866122384	0.013914904952900237	0.00803377412030501
113	1,2-propanediol	metJ-lg		0.09076071969389872	0.05422779891728083	0.03130843430245298
257	1,2-propanediol	treA	treA::kan	0.20715490036808215	0.0982755293690996	0.05673940333600263
254	1,2-propanediol	sspA	sspA::kan	0.34556837720187517	0.1376217305233619	0.07945594316400514
46	1,2-propanediol	MG1655	K-12 MG1655	0.13533265532342004	0.10866175331542093	0.031367946263637494
233	1,2-propanediol	rph	rph::kan	0.22516266869608892	0.2163000224922785	0.12488087621163911
84	1,2-propanediol	fabR_yfgF	ΔfabR yfgF::kan	0.14202630865065732	0.017229826937490582	0.009947645220450854
228	1,2-propanediol	relA_purT	ΔrelA purT::kan	0.10533969334526416	0.04684465559851994	0.027045774519900798
226	1,2-propanediol	relA	relA::kan	0.16476004713305267	0.07925239487742074	0.032354654723874034
82	1,2-propanediol	fabR	fabR::kan	0.1742068671667821	0.04311597191362743	0.01760202182542633
68	1,2-propanediol	acrB	acrB::kan	0.21339507131685698	0.1332191959718839	0.05438650901249195
216	1,2-propanediol	purT	purT::kan	0.1945026908071982	0.1284657989558935	0.052445942806817844
78	1,2-propanediol	clsA	clsA::kan	0.12698160721062532	0.05449212779418012	0.03146104465068538
123	1,2-propanediol	metJ_relA_acrB	ΔmetJ ΔrelA acrB::kan	0.15420992510831688	0.07234880541657526	0.04177060228280759
125	1,2-propanediol	metJ_relA_clsA	ΔmetJ ΔrelA clsA::kan	0.13370915844771628	0.015248348581107317	0.008803638157999559
111	1,2-propanediol	metJ	metJ::kan	0.31700636174029184	0.09388203848551784	0.03129401282850595
127	1,2-propanediol	metJ_relA_purT	ΔmetJ ΔrelA purT::kan	0.19694485125609865	0.1733634452721179	0.10009143179549822
1	1,2-propanediol	12PD4-6	12PD4-6	0.49737566805111594	0.2391001066304936	0.07970003554349787
2	1,2-propanediol	12PD6-3	12PD6-3	0.28658922509007556	0.17197466966680064	0.05732488988893355
133	1,2-propanediol	metJ_relA_treR	ΔmetJ ΔrelA treR::kan	0.18447138622878298	0.06147193579318798	0.035490838677804476
131	1,2-propanediol	metJ_relA_treA	ΔmetJ ΔrelA treA::kan	0.20599780740090937	0.05266559346417181	0.03040649456357099
3	1,2-propanediol	12PD7-6	12PD7-6	0.7849105271689218	0.07111490080900065	0.02370496693633355
129	1,2-propanediol	metJ_relA_rnb	ΔmetJ ΔrelA rnb::kan	0.20372201449549346	0.0360753709732979	0.020828125142549156
135	1,2-propanediol	metJ_relA_yeaR	ΔmetJ ΔrelA yeaR::kan	0.17850939709086866	0.07161819156807964	0.041348782180704965
5	2,3-butanediol	23BD4-3	23BD4-3	0.3779914631906874	0.01696451795065488	0.00565483931688496
4	2,3-butanediol	23BD2-4	23BD2-4	0.4996208731316087	0.052149946744703204	0.017383315581567735
217	2,3-butanediol	purT	purT::kan	0.013877570566095595	0.0339929667564009	0.013877570566095595
255	2,3-butanediol	sspA	sspA::kan	0.21298962006083041	0.05559934067372913	0.032100294304743225
126	2,3-butanediol	metJ_relA_clsA	ΔmetJ ΔrelA clsA::kan	0.2448999319297939	0.39395706740725506	0.22745121891673425
6	2,3-butanediol	23BD6-1	23BD6-1	0.37482100811202446	0.06694822354364385	0.02231607451454795
47	2,3-butanediol	MG1655	K-12 MG1655	0.01435003527464127	0.02303536769338725	0.0066497378693295695
69	2,3-butanediol	acrB	acrB::kan	0.08736102345764518	0.0456150612118003	0.018622270759121942
229	2,3-butanediol	relA_purT	ΔrelA purT::kan	0.024021315793502352	0.024727127427693608	0.014276213676665084
83	2,3-butanediol	fabR	fabR::kan	0.0148811583254206	0.028425684457092995	0.011604737084873418
253	2,3-butanediol	rzpD	rzpD::kan	0.03614648609464608	0.06260755043100895	0.03614648609464609
136	2,3-butanediol	metJ_relA_yeaR	ΔmetJ ΔrelA yeaR::kan	0.08682201443879474	0.03666156635254833	0.021166565202557105
227	2,3-butanediol	relA	relA::kan	0.0050093215975523875	0.012270281871506817	0.005009321597552388
85	2,3-butanediol	fabR_yfgF	ΔfabR yfgF::kan	0.011634130853223136	0.02015090573968712	0.011634130853223134
7	2,3-butanediol	23BD7-4	23BD7-4	0.5047883157669423	0.011362587698114372	0.0037875292327047907
79	2,3-butanediol	clsA	clsA::kan	0.017735544693259955	0.030718864508634824	0.01773554469325996
112	2,3-butanediol	metJ	metJ::kan	0.1525623925050673	0.014569354485207993	0.004856451495069331
134	2,3-butanediol	metJ_relA_treR	ΔmetJ ΔrelA treR::kan	0.09539642949413851	0.022281842536768553	0.012864427786644178
114	2,3-butanediol	metJ-lg		0.09633588951266144	0.041642357259153155	0.024042226173262644
132	2,3-butanediol	metJ_relA_treA	ΔmetJ ΔrelA treA::kan	0.14385368267541587	0.03003271025924152	0.01733939335266713
267	2,3-butanediol	yfgF	yfgF::kan	0.027060918315921566	0.028890879470026835	0.011794652153635973
116	2,3-butanediol	metJ-sm		0.1262199237921072	0.0193157197233197	0.011151935981849994
118	2,3-butanediol	metJ_acrB	ΔmetJ acrB::kan	0.20044252495072945	0.011287890647435492	0.004608262059758568
130	2,3-butanediol	metJ_relA_rnb	ΔmetJ ΔrelA rnb::kan	0.10563503937620104	0.05084974079029561	0.029358111533499865
120	2,3-butanediol	metJ_purT	ΔmetJ purT::kan	0.11117104954507388	0.0676862162789286	0.039078655189066655
122	2,3-butanediol	metJ_relA	ΔmetJ relA::kan	0.05042652237627499	0.014818599192402979	0.008555522232747031
128	2,3-butanediol	metJ_relA_purT	ΔmetJ ΔrelA purT::kan	0.11900387927368876	0.016607263841445535	0.00958820824936172
124	2,3-butanediol	metJ_relA_acrB	ΔmetJ ΔrelA acrB::kan	0.062095808731033215	0.027311771367873827	0.01576845855128747
258	2,3-butanediol	treA	treA::kan	0.05115646464046331	0.046060675837402434	0.02659314359378039
193	HMDA	proV_ptsP_wbbK	ΔproV ΔptsP wbbK::kan	0.19310688744662596	0.04673329260857493	0.0190787868151982
169	HMDA	proV	proV::kan	0.3138670010026794	0.2335565931053482	0.07785219770178274
191	HMDA	proV_ptsP_nagC	ΔproV ΔptsP nagC::kan	0.2736411007161681	0.04004342841686602	0.023119084175753108
189	HMDA	proV_ptsP_mpl	ΔproV ΔptsP mpl::kan	0.306072249268482	0.0032850187350928497	0.0018966064509988209
187	HMDA	proV_ptsP	ΔproV ptsP::kan	0.16335175969877627	0.042661514261006374	0.01422050475366879
186	HMDA	proV_nagC_ptsP		0.18239175969539503	0.07891544927676031	0.04556185588315782
184	HMDA	proV_nagC	ΔproV nagC::kan	0.06607823388013973	0.06728627442642905	0.027469506506272008
180	HMDA	proV_cspC_ybeX_mpl	ΔproV ΔcspC ΔybeX mpl::kan	0.35173190415273625	0.01664492850121911	0.009609953950820928
178	HMDA	proV_cspC_ybeX	ΔproV ΔcspC ybeX::kan	0.27668286315677854	0.04343200755072122	0.025075481250854757
176	HMDA	proV_cspC_mpl	ΔproV ΔcspC mpl::kan	0.24765762770157881	0.01775994283856156	0.010253707778635884
174	HMDA	proV_cspC	ΔproV cspC::kan	0.1353172708239786	0.0767897329187026	0.04433457297161242
137	HMDA	mpl	ΔproV mpl::kan	0.13061958935674145	0.010431075793936788	0.006022384417566794
152	HMDA	nusA_sspA_ybeX_mpl	ΔproV sspA* nusA* ΔybeX mpl::kan	0.40973739890934296	0.03720243763260102	0.021478837381692463
150	HMDA	nusA_sspA_ybeX	ΔproV sspA* nusA* ybeX::kan	0.29201026139741343	0.0314189264548705	0.01813972564636854
148	HMDA	nusA_sspA_mpl	ΔproV sspA* nusA* mpl::kan	0.34086042728967386	0.02665899892741209	0.015391580207067317
